index,hit_x,hit_y,hit_time,hit_timestamp,land_x,land_y,land_time,land_timestamp,speed
55,512,408,900.748577,2025-05-30T00:53:55.748Z,615,442,900.78191,2025-05-30T00:53:55.781Z,87.86
56,417,425,928.077346,2025-05-30T00:54:23.077Z,605,452,928.110679,2025-05-30T00:54:23.110Z,153.84
57,439,400,956.277082,2025-05-30T00:54:51.277Z,620,444,956.310415,2025-05-30T00:54:51.310Z,150.88
58,473,391,960.3601,2025-05-30T00:54:55.360Z,637,444,960.393433,2025-05-30T00:54:55.393Z,139.61
59,510,398,1071.4245,2025-05-30T00:56:46.424Z,605,437,1071.457832,2025-05-30T00:56:46.457Z,83.19
60,447,398,1083.828558,2025-05-30T00:56:58.828Z,641,454,1083.861891,2025-05-30T00:56:58.861Z,163.56
61,412,435,1087.536194,2025-05-30T00:57:02.536Z,581,466,1087.569527,2025-05-30T00:57:02.569Z,139.18
62,437,415,1123.397049,2025-05-30T00:57:38.397Z,644,471,1123.430382,2025-05-30T00:57:38.430Z,173.70
63,427,405,1137.070139,2025-05-30T00:57:52.070Z,581,435,1137.103472,2025-05-30T00:57:52.103Z,127.09
64,400,398,1151.625734,2025-05-30T00:58:06.625Z,598,442,1151.659067,2025-05-30T00:58:06.659Z,164.29
65,415,393,1159.749924,2025-05-30T00:58:14.749Z,671,464,1159.783257,2025-05-30T00:58:14.783Z,215.19
66,500,415,1182.566903,2025-05-30T00:58:37.566Z,637,457,1182.600236,2025-05-30T00:58:37.600Z,116.07
67,447,381,1186.282107,2025-05-30T00:58:41.282Z,554,422,1186.31544,2025-05-30T00:58:41.315Z,92.82
68,473,388,1198.455333,2025-05-30T00:58:53.455Z,603,439,1198.488666,2025-05-30T00:58:53.488Z,113.11
69,415,391,1202.312545,2025-05-30T00:58:57.312Z,644,452,1202.345878,2025-05-30T00:58:57.345Z,191.96
70,486,405,1210.202093,2025-05-30T00:59:05.202Z,671,449,1210.235426,2025-05-30T00:59:05.235Z,154.03
71,347,415,1213.760464,2025-05-30T00:59:08.760Z,503,432,1213.793797,2025-05-30T00:59:08.793Z,127.11
